D,Jugador 1,Jugador 2,Jugador 3,Jugador 4,Gols 1,Gols 2,Gols 3,Gols 4,Local,Visitant,Guanyador
1,Guille,Luis,Dani,Bruna,1,2,0,0,3,0,Local
1,Guille,Luis,Dani,Bruna,1,2,2,0,3,2,Local
2,Rebeca,Luis,Maider,Gisela,1,2,0,0,3,0,Local
2,Rebeca,Luis,Alejandro,Jose,0,0,3,0,0,3,Visitant
2,Maider,Dani,Alejandro,Jose,0,3,1,0,3,1,Local
2,Maider,Dani,Gisela,Luis,0,3,0,0,3,0,Local
2,Maider,Dani,Rebeca,Jose,0,3,0,0,3,0,Local
2,Dani,Maider,Gisela,Alejandro,1,2,0,0,3,0,Local
2,Dani,Maider,Alejandro,Luis,2,1,0,2,3,2,Local
3,Gisela,Luis,Rebeca,Elena,0,3,1,1,3,2,Local
3,Gisela,Luis,Maider,Jose,0,3,0,2,3,2,Local
3,Gisela,Luis,Dani,Elena,0,0,2,1,0,3,Visitant
3,Maider,Rebeca,Dani,Elena,1,2,2,0,3,2,Local
3,Maider,Rebeca,Gisela,Luis,0,1,0,2,1,3,Visitant
3,Elena,Dani,Luis,Gisela,0,2,1,1,2,3,Visitant
3,Elena,Dani,Luis,Gisela,0,2,2,1,2,3,Visitant
3,Dani,Elena,Luis,Gisela,2,1,1,1,3,2,Local
4,Gisela,Elena,Maider,Jose,0,0,1,2,0,3,Visitant
4,Luis,Convidat,Maider,Jose,1,0,1,2,1,3,Visitant
4,Gisela,Dani,Maider,Jose,1,2,0,0,3,0,Local
4,Gisela,Dani,Convidat,Elena,0,3,0,0,3,0,Local
4,Gisela,Dani,Maider,Luis,0,1,2,1,1,3,Visitant
4,Dani,Elena,Maider,Luis,1,1,1,2,2,3,Visitant
4,Dani,Elena,Maider,Luis,1,0,1,2,1,3,Visitant
4,Elena,Dani,Maider,Luis,1,0,1,2,1,3,Visitant
4,Elena,Dani,Maider,Luis,0,1,1,2,1,3,Visitant
4,Dani,Luis,Maider,Elena,0,2,0,2,2,3,Visitant
4,Dani,Luis,Maider,Elena,0,3,1,0,3,1,Local
4,Dani,Luis,Maider,Elena,2,0,3,0,2,3,Visitant
5,Rebeca,Dani,Maider,Guille,1,2,0,1,3,1,Local
5,Rebeca,Dani,Pedro,Luis,0,1,1,2,2,3,Visitant
5,Maider,Guille,Pedro,Luis,0,0,1,2,0,3,Visitant
5,Rebeca,Dani,Pedro,Luis,0,1,0,3,1,3,Visitant
5,Maider,Guille,Pedro,Luis,2,1,0,2,3,2,Local
5,Maider,Guille,Rebeca,Dani,0,0,1,2,0,3,Visitant
5,Pedro,Luis,Rebeca,Dani,2,0,0,3,2,3,Visitant
5,Maider,Guille,Rebeca,Dani,0,0,2,1,1,3,Visitant
5,Pedro,Luis,Guille,Dani,1,1,1,2,2,3,Visitant
6,Guille,Luis,Maider,Rebeca,1,2,1,1,3,2,Local
6,Guille,Luis,Jose,Dani,0,1,1,2,1,3,Visitant
6,Maider,Rebeca,Jose,Dani,1,2,0,0,3,0,Local
6,Maider,Rebeca,Guille,Luis,0,3,0,1,3,1,Local
6,Maider,Rebeca,Jose,Dani,0,0,0,2,0,3,Visitant
6,Simone,Giosue,Jose,Dani,1,0,1,2,1,3,Visitant
6,Guille,Elena,Jose,Dani,2,0,2,1,2,3,Visitant
6,Maider,Rebeca,Jose,Dani,0,0,1,2,0,3,Visitant
6,Guille,Elena,Dani,Jose,0,0,2,1,0,3,Visitant
6,Maider,Elena,Dani,Giosue,1,1,2,0,3,2,Local
